datasourceid,pm25_avg,pm25_min,pm25_max,pm25_count,no2_avg,no2_min,no2_max,no2_count
DUSKD5383,10.943999999999999,6.58,16.76,5,,,,0
DRZTP3103,10.933333333333332,9.19,13.59,3,,,,0
DNVBM2851,10.93,8.58,13.28,2,,,,0
DDCVA2276,10.926666666666668,8.93,13.41,3,15.09,15.09,15.09,1
DYGHJ0891,10.895,9.54,12.25,2,,,,0
DKIJX6114,10.883333333333333,5.72,20.98,6,19.375,16.98,21.77,2
DWTBM7891,10.79,8.94,12.21,4,,,,0
DQJDZ1252,10.658,7.92,12.61,5,,,,0
DALBP5360,10.635714285714286,5.97,15.1,7,12.27,12.27,12.27,1
DGTGR9009,10.57,10.19,10.95,2,,,,0
DTFVD6048,10.39,6.88,12.81,6,,,,0
DJKZD4256,10.374285714285714,4.92,15.88,7,17.59,12.68,25.69,3
DRDMU5348,10.0875,6.97,16.85,4,18.8,18.8,18.8,1
DFNBI6922,10.08,7.09,16.42,6,,,,0
DGHRH9009,9.825000000000001,5.95,16.32,4,29.14,29.14,29.14,1
DQVFE3070,9.743333333333332,5.74,13.08,3,,,,0
DZFFW4078,9.736,6.79,14.28,5,,,,0
DNFCT5518,9.61,9.61,9.61,1,,,,0
DCIRD2804,9.537500000000001,8.25,10.88,4,,,,0
DIBVR6629,9.52,9.52,9.52,1,,,,0
DXXAJ4778,9.476666666666667,9.17,9.77,3,,,,0
DUUZN2841,9.416666666666666,8.57,10.69,3,,,,0
DMSGP0807,8.993333333333334,8.23,9.59,3,,,,0
DRRDD3500,8.97,8.97,8.97,1,,,,0
DMIYV7889,8.956666666666665,6.67,12.35,3,15.36,15.36,15.36,1
DHCXV0760,8.915,8.0,9.83,2,,,,0
DMMRS6981,8.49,7.93,9.05,2,,,,0
DAMWS8859,8.47,8.47,8.47,1,,,,0
DIIPF3878,8.463636363636365,3.02,21.67,22,22.036666666666665,11.44,36.27,3
DMMAG3845,8.295,6.45,10.14,2,,,,0
DDGFW8206,8.184999999999999,5.14,10.84,4,,,,0
DYRMT9480,8.133333333333333,7.15,9.78,3,,,,0
DTYDP5264,8.086666666666668,5.66,10.58,6,,,,0
DEJMD2536,7.885882352941176,2.67,17.48,17,,,,0
DFKYP0941,7.75,6.66,8.84,2,,,,0
DGKDK3415,7.535,6.29,9.29,4,,,,0
DIQKT3554,7.243333333333333,5.49,9.64,3,,,,0
DLVFF5341,6.65,6.05,7.25,2,,,,0
DIWYY0447,6.14,6.14,6.14,1,,,,0
DEYGE9157,5.89,5.89,5.89,1,,,,0
DWBTT8209,4.768181818181818,3.29,10.88,11,,,,0
