datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DCIRD2804,2026-01-26T13:42:26.000Z,8.530000000000001,
DCIRD2804,2026-01-27T12:35:21.000Z,9.313333333333334,
DCIRD2804,2026-01-27T14:18:15.000Z,10.545000000000002,
DCQTB2627,2026-01-26T15:35:51.000Z,8.41,
DCQTB2627,2026-01-27T10:44:45.000Z,12.73,
DCQTB2627,2026-02-10T23:15:21.000Z,22.84,9.03
DCRJT8545,2026-01-26T12:27:48.000Z,9.07,
DCRJT8545,2026-01-26T13:19:03.000Z,10.165,
DCRJT8545,2026-01-26T23:00:31.000Z,15.270000000000001,
DCRJT8545,2026-01-27T12:41:08.000Z,20.353333333333335,
DCRJT8545,2026-02-10T06:10:37.000Z,15.55,16.46
DCRJT8545,2026-02-10T21:33:10.000Z,16.68,19.765
DCYXM8877,2026-01-26T18:29:46.000Z,10.19,
DCYXM8877,2026-01-27T09:08:25.000Z,15.485,
DCYXM8877,2026-02-10T04:23:44.000Z,19.23,17.07
DCYXM8877,2026-02-10T20:26:37.000Z,18.740000000000002,13.73
DCZQF3538,2026-01-26T15:37:40.000Z,8.55,
DCZQF3538,2026-01-27T05:52:57.000Z,12.465,
DCZQF3538,2026-01-27T11:17:41.000Z,12.219999999999999,
DDCVA2276,2026-01-27T07:01:55.000Z,10.44,
DDCVA2276,2026-01-27T11:08:31.000Z,9.684999999999999,
DDCVA2276,2026-02-10T04:53:13.000Z,13.41,15.09
DDFTD2975,2026-01-27T02:53:09.000Z,27.06,
DDGFW8206,2026-01-26T19:00:52.000Z,7.41,
DDGFW8206,2026-01-27T00:30:26.000Z,6.275,
DDGFW8206,2026-01-27T02:14:32.000Z,7.796666666666667,
DDGFW8206,2026-01-27T08:36:09.000Z,8.185,
DDGHI0125,2026-01-26T12:18:35.000Z,7.22,
DDGHI0125,2026-02-10T06:35:32.000Z,18.15,16.68
DDHVZ6546,2026-01-26T16:51:13.000Z,11.18,
DDHVZ6546,2026-01-27T00:38:03.000Z,11.165,
DDHVZ6546,2026-02-10T15:31:19.000Z,29.25,22.58
DDHVZ6546,2026-02-10T20:59:31.000Z,23.045,18.75
DDQNT6485,2026-01-26T13:02:21.000Z,9.43,
DDQNT6485,2026-01-27T02:32:40.000Z,13.845,
DDQNT6485,2026-01-27T09:28:15.000Z,14.956666666666669,
DDQNT6485,2026-01-27T14:38:16.000Z,15.146666666666667,
DEIDA3268,2026-01-27T05:02:51.000Z,17.76,
DEIDA3268,2026-01-27T12:16:05.000Z,13.875,
DEJMD2536,2025-11-10T12:46:32.314Z,2.67,
DEJMD2536,2025-11-30T01:04:33.154Z,9.47,
DEJMD2536,2025-12-01T20:56:14.946Z,17.48,
DEJMD2536,2025-12-07T12:25:38.379Z,16.35,
DEJMD2536,2025-12-10T20:18:05.078Z,4.32,
DEJMD2536,2025-12-10T22:00:10.827Z,4.245,
DEJMD2536,2025-12-12T07:29:30.712Z,15.64,
DEJMD2536,2025-12-14T05:32:05.082Z,4.17,
DEJMD2536,2025-12-20T10:39:11.891Z,5.34,
DEJMD2536,2025-12-30T18:21:20.401Z,4.08,
DEJMD2536,2026-01-14T17:51:20.000Z,4.13,
DEJMD2536,2026-01-27T03:05:53.000Z,12.69,
DEJMD2536,2026-01-27T04:48:26.000Z,14.23,
DEJMD2536,2026-01-31T22:49:03.000Z,4.0,
DEJMD2536,2026-02-23T03:58:54.000Z,4.26,
DEJMD2536,2026-03-01T22:22:25.000Z,4.32,
DEJMD2536,2026-03-17T19:04:08.000Z,5.2,
DEPLW3142,2026-01-26T20:27:37.000Z,13.16,
DEPLW3142,2026-01-26T20:44:57.000Z,13.77,
DEPLW3142,2026-01-26T23:55:36.000Z,13.323333333333332,
DEPLW3142,2026-01-27T01:22:21.000Z,12.115,
DEQFM3089,2026-01-27T04:10:30.000Z,19.67,
DEQFM3089,2026-01-27T09:20:51.000Z,17.075000000000003,
DEQFM3089,2026-01-27T10:47:01.000Z,15.250000000000002,
DEQFM3089,2026-01-27T11:38:44.000Z,13.847500000000002,
DEQFM3089,2026-02-10T05:08:23.000Z,14.17,16.0
DEQFM3089,2026-02-10T05:59:58.000Z,11.975,15.895
