datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DGKDK3415,2026-01-27T01:56:57.000Z,6.949999999999999,
DGKDK3415,2026-01-27T11:39:54.000Z,7.534999999999999,
DGRCH4426,2026-01-26T15:39:38.000Z,7.22,
DGRCH4426,2026-01-26T21:38:04.000Z,10.425,
DGRCH4426,2026-01-27T01:19:57.000Z,9.316666666666668,
DGRCH4426,2026-01-27T11:51:22.000Z,10.33,
DGRCH4426,2026-02-10T15:10:33.000Z,24.57,14.6
DGRSB4646,2026-01-26T12:30:20.000Z,9.45,
DGRSB4646,2026-01-27T01:59:02.000Z,8.485,
DGRSB4646,2026-01-27T08:17:30.000Z,9.86,
DGRSB4646,2026-02-10T21:44:37.000Z,20.24,11.88
DGTDZ6242,2026-01-27T00:49:21.000Z,6.36,
DGTDZ6242,2026-01-27T02:17:28.000Z,7.74,
DGTDZ6242,2026-01-27T10:48:10.000Z,12.496666666666668,
DGTDZ6242,2026-02-11T00:00:39.000Z,22.4,21.7
DGTGR9009,2026-01-26T18:15:46.000Z,10.95,
DGTGR9009,2026-01-26T19:23:56.000Z,10.57,
DGZUS1041,2026-01-26T18:15:59.000Z,11.36,
DGZUS1041,2026-02-10T15:35:13.000Z,26.93,24.16
DHCXV0760,2026-01-26T18:28:53.000Z,9.83,
DHCXV0760,2026-01-27T14:56:56.000Z,8.915,
DHCXV0760,2026-03-17T07:30:09.000Z,,
DHCXV0760,2026-03-17T08:22:00.000Z,,
DHJUH1119,2026-01-26T22:15:17.000Z,8.67,
DHJUH1119,2026-01-27T06:01:40.000Z,11.059999999999999,
DHJUH1119,2026-02-10T03:55:48.000Z,18.09,19.54
DHJUH1119,2026-02-10T20:17:02.000Z,16.265,17.59
DHNQG0980,2026-01-26T22:03:04.000Z,17.68,
DHNQG0980,2026-01-27T06:01:21.000Z,19.445,
DHNQG0980,2026-02-10T21:38:52.000Z,17.96,12.46
DHQVH8975,2026-01-26T15:26:26.000Z,9.39,
DHQVH8975,2026-01-27T10:11:28.000Z,11.765,
DHSIJ5379,2026-01-26T23:07:16.000Z,16.45,
DHSIJ5379,2026-01-27T02:50:01.000Z,16.48,
DHSIJ5379,2026-01-27T06:49:55.000Z,15.780000000000001,
DHSIJ5379,2026-02-10T05:33:08.000Z,17.3,11.16
DHUBD2135,2026-01-26T18:16:08.000Z,10.88,
DHUBD2135,2026-01-27T00:08:20.000Z,10.21,
DHUBD2135,2026-01-27T02:46:47.000Z,12.516666666666666,
DHUBD2135,2026-01-27T06:53:15.000Z,13.0975,
DHUBD2135,2026-01-27T11:17:06.000Z,13.358,
DHWLS6819,2026-01-26T16:20:44.000Z,8.28,
DHWLS6819,2026-01-27T05:11:53.000Z,12.08,
